875,Q00394
212,Q00498
666,Q00493
1261,Q00007
1267,Q00045
661,Q00306
660,Q00107
2095,Q00409
2094,Q00294
1197,Q00587
495,Q00467
497,Q00639
1775,Q00222
524,Q00180
1949,Q00721
169,Q00558
2138,Q00694
1942,Q00445
1678,Q00437
547,Q00268
280,Q00375
282,Q00086
1670,Q00341
1782,Q00688
993,Q00404
663,Q00073
1116,Q00465
1151,Q00356
672,Q00302
1318,Q00055
262,Q00258
1494,Q00613
1256,Q00547
961,Q00521
133,Q00727
1552,Q00524
1828,Q00475
1061,Q00031
1709,Q00011
1067,Q00187
1565,Q00321
379,Q00367
535,Q00398
829,Q00285
827,Q00143
1381,Q00175
1416,Q00316
2067,Q00516
1087,Q00088
2136,Q00617
594,Q00490
707,Q00297
316,Q00070
1126,Q00036
393,Q00625
116,Q00127
113,Q00413
277,Q00576
1489,Q00387
81,Q00642
1710,Q00719
198,Q00709
835,Q00392
724,Q00455
1524,Q00249
527,Q00365
1399,Q00190
1397,Q00210
423,Q00505
366,Q00674
910,Q00206
1655,Q00090
587,Q00014
300,Q00135
1132,Q00099
1331,Q00536
1332,Q00333
247,Q00378
106,Q00676
922,Q00063
104,Q00068
972,Q00553
903,Q00666
2045,Q00227
1432,Q00435
781,Q00337
782,Q00716
909,Q00482
37,Q00534
789,Q00202
2048,Q00138
34,Q00077
642,Q00488
1533,Q00608
1006,Q00508
435,Q00339
1926,Q00628
516,Q00590
623,Q00603
1340,Q00581
452,Q00361
336,Q00253
577,Q00729
333,Q00329
1228,Q00442
1877,Q00022
62,Q00001
1111,Q00572
1988,Q00425
178,Q00348
1903,Q00148
745,Q00430
1985,Q00058
1982,Q00619
1635,Q00110
1583,Q00647
1734,Q00595
979,Q00402
1038,Q00631
1238,Q00597
1847,Q00615
1504,Q00417
2115,Q00561
399,Q00654
1216,Q00325
756,Q00684
754,Q00241
467,Q00232
1357,Q00308
565,Q00275
567,Q00697
1918,Q00266
1597,Q00692
2122,Q00519
1865,Q00167
294,Q00528
91,Q00048
94,Q00706
1025,Q00636
813,Q00526
1801,Q00053
17,Q00185
814,Q00532
863,Q00118
1182,Q00283
726,Q00237
1107,Q00353
164,Q00130
725,Q00123
1451,Q00244
2028,Q00105
1743,Q00164
1167,Q00019
154,Q00081
884,Q00194
1973,Q00564
1845,Q00679
848,Q00452
231,Q00215
1199,Q00027
1815,Q00312
48,Q00103
1191,Q00650
1615,Q00170
1612,Q00634
355,Q00584
1962,Q00113
1696,Q00542
1299,Q00095
1692,Q00460
1114,Q00289
1758,Q00271
1118,Q00153
562,Q00173
1295,Q00671
200,Q00345
144,Q00157
773,Q00659
958,Q00372
948,Q00662
610,Q00724
616,Q00540
419,Q00382
376,Q00622
74,Q00040
1887,Q00421
482,Q00261
2009,Q00447
1047,Q00513
2130,Q00567
1283,Q00263
2126,Q00551
2082,Q00713
2080,Q00279
1714,Q00470
942,Q00478
2003,Q00599
1470,Q00161
354,Q00003
476,Q00701
1361,Q00486
802,Q00502
687,Q00197
1765,Q00150
1369,Q00218
